,np1,np2,np_sum,real_sum,now_prc,prf1,prf2,prf,time
161,0.0,0.0,0.0,0.0,53552.5,0.0,0.0,0.0,142823
162,0.0,0.0,0.0,0.0,53550.4,0.0,0.0,0.0,142824
163,0.0,0.0,0.0,0.0,53566.9,0.0,0.0,0.0,142825
164,0.0,0.0,0.0,0.0,53570.1,0.0,0.0,0.0,142826
165,0.0,0.0,0.0,0.0,53559.3,0.0,0.0,0.0,142826
166,0.0,0.0,0.0,0.0,53570.2,0.0,0.0,0.0,142828
167,0.0,0.0,0.0,0.0,53596.5,0.0,0.0,0.0,142828
168,0.0,0.0,0.0,0.0,53590.5,0.0,0.0,0.0,142829
169,0.0,0.0,0.0,0.0,53570.4,0.0,0.0,0.0,142830
170,0.0,0.0,0.0,0.0,53545.5,0.0,0.0,0.0,142831
171,0.0,0.0,0.0,0.0,53553.8,0.0,0.0,0.0,142832
172,0.0,0.0,0.0,0.0,53545.5,0.0,0.0,0.0,142832
173,0.0,0.0,0.0,0.0,53556.4,0.0,0.0,0.0,142833
174,0.0,0.0,0.0,0.0,53590.4,0.0,0.0,0.0,142834
175,0.0,0.0,0.0,0.0,53600.7,0.0,0.0,0.0,142835
176,0.0,0.0,0.0,0.0,53607.8,0.0,0.0,0.0,142836
177,0.0,0.0,0.0,0.0,53605.6,0.0,0.0,0.0,142836
178,0.0,0.0,0.0,0.0,53610.4,0.0,0.0,0.0,142837
179,0.0,0.0,0.0,0.0,53605.5,0.0,0.0,0.0,142838
180,0.0,0.0,0.0,0.0,53606.1,0.0,0.0,0.0,142839
181,0.0,0.0,0.0,0.0,53610.3,0.0,0.0,0.0,142840
182,0.0,0.0,0.0,0.0,53610.4,0.0,0.0,0.0,142841
183,0.0,0.0,0.0,0.0,53610.0,0.0,0.0,0.0,142841
184,0.0,0.0,0.0,0.0,53615.3,0.0,0.0,0.0,142842
185,0.0,0.0,0.0,0.0,53615.4,0.0,0.0,0.0,142843
186,0.0,0.0,0.0,0.0,53616.5,0.0,0.0,0.0,142844
187,0.0,0.0,0.0,0.0,53613.9,0.0,0.0,0.0,142845
188,0.0,0.0,0.0,0.0,53607.0,0.0,0.0,0.0,142846
189,0.0,0.0,0.0,0.0,53612.1,0.0,0.0,0.0,142847
190,0.0,0.0,0.0,0.0,53610.4,0.0,0.0,0.0,142848
191,0.0,0.0,0.0,0.0,53605.4,0.0,0.0,0.0,142848
192,0.0,0.0,0.0,0.0,53605.6,0.0,0.0,0.0,142849
193,0.0,0.0,0.0,0.0,53602.1,0.0,0.0,0.0,142850
194,0.0,0.0,0.0,0.0,53605.4,0.0,0.0,0.0,142850
195,0.0,0.0,0.0,0.0,53610.4,0.0,0.0,0.0,142851
196,0.0,0.0,0.0,0.0,53634.9,0.0,0.0,0.0,142853
197,0.0,0.0,0.0,0.0,53628.8,0.0,0.0,0.0,142853
198,0.0,0.0,0.0,0.0,53630.3,0.0,0.0,0.0,142854
199,0.0,0.0,0.0,0.0,53635.0,0.0,0.0,0.0,142855
200,0.0,0.0,0.0,0.0,53655.4,0.0,0.0,0.0,142855
201,0.0,0.0,0.0,0.0,53667.2,0.0,0.0,0.0,142857
202,0.0,0.0,0.0,0.0,53660.4,0.0,0.0,0.0,142858
203,0.0,0.0,0.0,0.0,53640.5,0.0,0.0,0.0,142858
204,0.0,0.0,0.0,0.0,53638.3,0.0,0.0,0.0,142900
205,0.0,0.0,0.0,0.0,53638.1,0.0,0.0,0.0,142901
206,0.0,0.0,0.0,0.0,53640.5,0.0,0.0,0.0,142901
207,0.0,0.0,0.0,0.0,53610.5,0.0,0.0,0.0,142902
208,0.0,0.0,0.0,0.0,53617.4,0.0,0.0,0.0,142903
209,0.0,0.0,0.0,0.0,53617.9,0.0,0.0,0.0,142904
210,0.0,0.0,0.0,0.0,53614.1,0.0,0.0,0.0,142904
211,0.0,0.0,0.0,0.0,53599.3,0.0,0.0,0.0,142905
212,0.0,0.0,0.0,0.0,53597.8,0.0,0.0,0.0,142906
213,0.0,0.0,0.0,0.0,53590.6,0.0,0.0,0.0,142907
214,0.0,0.0,0.0,0.0,53569.3,0.0,0.0,0.0,142907
215,0.0,0.0,0.0,0.0,53567.4,0.0,0.0,0.0,142908
216,0.0,0.0,0.0,0.0,53568.0,0.0,0.0,0.0,142909
217,0.0,0.0,0.0,0.0,53568.1,0.0,0.0,0.0,142911
218,0.0,0.0,0.0,0.0,53565.4,0.0,0.0,0.0,142912
219,0.0,0.0,0.0,0.0,53568.1,0.0,0.0,0.0,142913
220,0.0,0.0,0.0,0.0,53615.4,0.0,0.0,0.0,142915
221,0.0,0.0,0.0,0.0,53618.7,0.0,0.0,0.0,142916
222,0.0,0.0,0.0,0.0,53627.0,0.0,0.0,0.0,142917
223,0.0,0.0,0.0,0.0,53625.9,0.0,0.0,0.0,142918
224,0.0,0.0,0.0,0.0,53613.1,0.0,0.0,0.0,142920
225,0.0,0.0,0.0,0.0,53599.1,0.0,0.0,0.0,142921
226,0.0,0.0,0.0,0.0,53598.1,0.0,0.0,0.0,142922
